task_length,cpu_cores_needed,memory_needed(MB),network_bandwidth_needed(Mbps),priority,vm_id,arrival_time
531,7,739,96,1,VM4,236960
540,3,1387,124,1,VM1,237294
308,4,887,103,2,VM4,237597
337,6,660,105,3,VM1,238089
657,6,1078,93,1,VM3,238612
494,7,803,117,2,VM1,239220
602,5,760,114,1,VM4,239380
504,5,913,117,1,VM2,239739
504,6,1046,90,2,VM4,239833
640,5,670,126,2,VM2,242028
422,6,1378,136,1,VM3,242086
514,7,1197,116,1,VM4,242089
430,2,930,83,2,VM1,242138
434,6,792,83,1,VM4,242586
453,3,1001,92,1,VM2,242764
533,5,1254,88,2,VM3,242942
428,6,1214,98,1,VM1,243872
688,6,1294,112,1,VM4,244629
365,7,901,105,3,VM2,244741
471,5,275,104,2,VM1,244811
434,2,1343,95,3,VM3,245377
717,7,981,98,3,VM1,246086
529,2,1194,115,3,VM3,246320
654,7,1451,59,1,VM1,246618
277,5,1647,99,1,VM4,246707
540,1,857,105,3,VM2,247191
633,5,1058,115,3,VM4,247491
512,5,1373,79,3,VM4,247701
659,2,807,78,1,VM3,247720
422,2,874,111,3,VM3,248463
711,5,873,61,3,VM3,248750
844,5,1016,126,2,VM4,248814
445,5,967,104,2,VM1,249094
433,2,871,131,1,VM1,249433
718,5,776,78,2,VM4,249657
736,5,1231,91,2,VM4,250037
421,4,1366,51,2,VM2,250298
436,1,1403,84,1,VM3,251184
457,3,900,96,2,VM3,251200
298,1,1242,60,1,VM4,251234
362,4,1084,92,3,VM4,251291
349,3,877,60,2,VM1,251643
384,7,1211,94,1,VM4,251954
494,5,866,122,2,VM1,252622
535,4,927,99,3,VM4,253018
732,7,671,133,1,VM2,253231
350,5,905,115,1,VM2,254673
647,2,1088,126,1,VM1,254766
467,6,1425,84,3,VM3,255303
492,4,933,84,3,VM2,255470
601,2,758,106,3,VM1,255784
331,4,1407,68,1,VM4,256174
557,4,894,109,3,VM4,256475
524,2,576,93,2,VM1,256520
573,3,1058,126,3,VM3,256696
543,1,940,113,1,VM1,256943
868,5,1612,121,2,VM1,257510
404,4,1145,84,3,VM2,257686
420,5,986,120,2,VM1,258439
406,6,787,128,2,VM1,258613
416,2,1108,99,1,VM4,258852
404,5,1396,85,2,VM2,259330
678,2,1103,85,2,VM4,259592
713,5,807,124,1,VM4,260559
414,1,1161,153,1,VM3,260883
375,1,1011,80,1,VM3,261105
570,1,1138,78,2,VM2,261112
417,1,933,118,2,VM2,261272
594,1,927,84,2,VM3,261379
530,1,917,120,1,VM3,261793
272,2,1265,109,3,VM3,261863
732,4,929,99,2,VM3,261932
769,5,906,108,3,VM3,261995
408,1,782,107,1,VM4,262035
441,2,1140,96,2,VM2,262147
542,2,1103,64,3,VM4,262798
550,2,909,103,2,VM4,263245
598,4,842,131,2,VM1,263644
801,5,1504,67,2,VM4,264123
473,4,542,80,3,VM3,264217
380,3,1150,108,1,VM3,264872
293,7,1354,100,2,VM1,264917
390,2,156,108,1,VM1,265040
495,3,1227,86,1,VM1,265305
769,6,967,123,3,VM1,265337
422,1,1089,100,3,VM1,265730
533,7,941,113,1,VM4,265877
497,1,1299,106,2,VM1,266338
678,4,1116,103,3,VM4,266541
879,7,1057,112,2,VM2,266601
420,5,793,103,2,VM1,266999
426,3,1505,76,2,VM1,267087
656,5,1026,121,1,VM4,267289
602,4,1610,116,2,VM2,267313
777,1,1517,57,1,VM4,267601
587,7,568,86,1,VM4,267930
446,5,856,120,2,VM1,268073
588,5,758,63,2,VM3,268999
666,1,1011,118,2,VM3,269621
623,7,1071,97,2,VM4,269990
576,3,1082,126,1,VM1,270366
660,1,1293,99,2,VM2,270453
675,5,1406,85,2,VM3,270774
707,3,1271,106,1,VM2,270840
597,3,880,99,3,VM3,270887
474,1,823,83,3,VM1,273148
522,5,1024,144,1,VM4,273440
680,4,1133,80,3,VM2,273609
377,5,977,55,1,VM2,273711
555,2,679,131,2,VM4,273989
440,7,1198,88,2,VM2,274005
504,6,923,94,3,VM3,274034
691,4,915,92,2,VM4,274044
528,3,1010,88,3,VM3,274252
506,4,962,84,3,VM3,274527
296,7,930,80,2,VM1,274547
611,3,696,101,2,VM3,274930
596,7,995,91,3,VM1,275008
824,3,1203,114,2,VM2,275355
453,4,1091,109,1,VM2,276559
532,3,1266,81,2,VM1,276911
537,3,837,102,2,VM3,277555
736,2,696,91,1,VM4,278443
485,5,961,80,2,VM4,278643
541,5,866,113,2,VM1,279007
591,6,893,97,3,VM2,279580
527,6,1078,91,2,VM2,279712
433,2,895,82,2,VM4,279803
529,6,703,79,1,VM1,280682
661,7,880,139,3,VM4,281071
346,4,1111,106,3,VM3,281145
519,1,1195,78,3,VM3,281324
394,7,1193,105,2,VM1,281802
679,1,1132,121,3,VM1,282039
271,1,980,103,1,VM3,282354
416,2,1127,127,3,VM2,282775
556,7,1013,69,1,VM1,283067
734,2,1052,60,3,VM3,283300
490,3,783,105,3,VM3,283715
416,1,1035,105,1,VM2,284105
782,4,1120,33,3,VM2,284403
282,6,1111,87,3,VM2,284537
170,4,694,79,3,VM2,284693
566,6,1048,72,2,VM4,285750
424,1,654,79,1,VM2,285785
346,1,1068,111,3,VM4,285879
606,1,844,79,1,VM1,286083
536,2,1460,80,1,VM3,286626
415,7,1054,67,1,VM4,286680
307,6,1229,125,3,VM1,286777
630,7,1564,108,3,VM1,286798
597,2,814,50,1,VM4,287165
485,2,1135,80,2,VM1,287246
776,5,720,110,1,VM1,287394
339,4,1112,125,2,VM4,287570
271,4,1476,116,1,VM1,288236
396,3,863,92,1,VM2,288395
493,2,797,61,1,VM2,288442
536,6,1000,117,3,VM3,288665
463,5,1547,94,2,VM1,289653
552,5,1221,101,2,VM3,289934
312,7,792,96,1,VM2,291163
716,4,1396,72,3,VM2,291715
487,2,600,107,3,VM2,291726
667,3,1570,104,2,VM1,292049
551,2,1243,91,3,VM1,292150
568,7,1475,109,2,VM2,292396
585,1,602,72,2,VM3,292494
567,2,1067,94,2,VM3,292623
596,7,989,100,3,VM4,293393
699,1,766,65,2,VM2,293462
529,1,692,98,2,VM3,294084
606,3,1153,114,1,VM2,294093
486,6,1177,93,2,VM3,294122
716,4,1356,99,2,VM4,294700
398,2,895,111,1,VM4,294999
770,1,987,92,1,VM2,295412
493,2,670,94,3,VM3,295482
285,6,1418,76,2,VM1,295713
519,4,1041,99,3,VM4,296114
397,6,1208,93,3,VM2,296410
626,4,1218,109,1,VM2,296602
402,5,1397,111,3,VM3,297566
433,4,811,115,2,VM2,297904
216,3,1202,89,1,VM4,298619
432,6,1017,56,2,VM2,299012
136,1,1563,114,2,VM2,299411
262,5,810,108,1,VM1,299436
614,3,1323,87,2,VM1,299569
617,2,1113,111,1,VM4,300156
563,6,1100,71,2,VM3,300235
354,7,1037,120,1,VM1,300272
492,7,1368,93,3,VM3,300390
499,1,1091,83,2,VM4,300465
326,4,633,87,1,VM1,301243
725,1,1336,95,2,VM3,301851
631,7,1289,99,2,VM1,302058
466,2,1174,100,2,VM4,302077
504,5,735,91,1,VM4,302453
531,5,774,104,3,VM1,302746
193,6,543,100,3,VM3,303804
462,5,1141,87,3,VM2,304050
397,6,678,84,1,VM2,304173
349,6,583,112,3,VM1,304392
457,6,1350,110,1,VM3,305555
769,7,1220,101,2,VM2,305912
596,7,938,118,2,VM4,306247
414,4,989,60,3,VM3,306329
585,3,407,88,1,VM2,306738
